Payment_ID,Order_ID,Payment_Method,Payment_Amount,Payment_Status,Payment_Date
2001,1001,"Credit Card",1199.99,Completed,2024-08-15
2002,1002,PayPal,999.99,Completed,2024-08-16
2003,1003,"Credit Card",149.99,Completed,2024-08-17
2004,1004,"Debit Card",299.98,Completed,2024-08-18
2005,1005,PayPal,89.99,Completed,2024-08-19
2006,1006,"Credit Card",59.97,Completed,2024-08-20
2007,1007,"Debit Card",699.99,Completed,2024-08-21
2008,1008,PayPal,119.98,Completed,2024-08-22
2009,1009,"Credit Card",199.99,Completed,2024-08-23
2010,1010,"Debit Card",44.98,Completed,2024-08-24
2011,1011,PayPal,159.98,Completed,2024-08-25
2012,1012,"Credit Card",79.99,Completed,2024-08-26
2013,1013,"Debit Card",24.99,Completed,2024-08-27
2014,1014,PayPal,39.98,Completed,2024-08-28
2015,1015,"Credit Card",12.99,Completed,2024-08-29
